SaleID,CustomerID,ProductID,SaleDate,Quantity,TotalPrice,SalesPerson
1,1194,204,2024-11-11,5,500,Raj
2,1051,203,2025-05-04,1,450,Kiran
3,1171,201,2025-03-12,5,750,Manish
4,1161,202,2024-12-08,5,3000,Anjali
5,1074,203,2025-06-06,2,900,Anjali
6,1167,201,2024-07-11,4,600,Raj
7,1162,202,2025-05-23,2,1200,Kiran
8,1101,206,2025-03-28,5,300,Anjali
9,1061,204,2024-07-28,1,100,Pooja
10,1075,203,2025-02-27,4,1800,Raj
11,1031,207,2024-08-24,3,240,Raj
12,1117,203,2025-04-19,5,2250,Kiran
13,1157,201,2024-11-07,5,750,Anjali
14,1155,206,2024-07-12,2,120,Kiran
15,1114,207,2024-10-01,4,320,Pooja
16,1027,201,2025-05-10,2,300,Raj
17,1001,207,2024-11-20,1,80,Anjali
18,1005,205,2024-07-01,4,200,Divya
19,1167,207,2025-01-12,3,240,Anjali
20,1111,203,2024-11-17,3,1350,Anjali
21,1054,202,2025-01-15,4,2400,Anjali
22,1075,207,2025-05-28,1,80,Raj
23,1108,204,2024-12-16,3,300,Divya
24,1022,204,2025-02-11,4,400,Raj
25,1032,205,2025-03-16,3,150,Raj
26,1116,206,2025-02-09,1,60,Anjali
27,1177,206,2024-06-18,3,180,Kiran
28,1087,202,2024-11-30,5,3000,Divya
29,1190,206,2025-01-11,2,120,Pooja
30,1006,204,2024-08-25,4,400,Pooja
31,1180,207,2024-10-08,1,80,Manish
32,1193,202,2024-11-14,5,3000,Manish
33,1036,202,2024-12-16,1,600,Pooja
34,1053,205,2024-10-23,5,250,Pooja
35,1042,202,2024-06-27,2,1200,Pooja
36,1121,206,2024-10-26,1,60,Manish
37,1155,201,2025-03-26,3,450,Divya
38,1006,204,2025-01-03,3,300,Anjali
39,1144,202,2024-11-05,4,2400,Pooja
40,1013,207,2024-11-06,4,320,Anjali
41,1061,203,2024-06-22,5,2250,Divya
42,1055,204,2025-04-29,4,400,Manish
43,1104,203,2025-05-12,3,1350,Divya
44,1074,207,2025-01-20,3,240,Divya
45,1057,202,2024-08-02,1,600,Manish
46,1169,203,2025-01-03,1,450,Manish
47,1103,203,2024-09-02,3,1350,Pooja
48,1142,201,2024-11-08,4,600,Kiran
49,1032,203,2025-01-08,4,1800,Anjali
50,1188,201,2025-02-25,5,750,Anjali
51,1125,202,2024-07-17,1,600,Anjali
52,1025,205,2024-07-05,3,150,Raj
53,1129,201,2025-04-12,2,300,Manish
54,1156,202,2025-03-10,5,3000,Pooja
55,1133,205,2025-05-04,4,200,Raj
56,1119,207,2025-02-09,2,160,Kiran
57,1013,204,2025-05-03,4,400,Divya
58,1050,201,2025-04-03,1,150,Anjali
59,1104,202,2024-10-28,1,600,Pooja
60,1114,204,2024-11-08,3,300,Raj
61,1028,203,2025-05-29,3,1350,Kiran
